model,metric,window,aic,bic,loglik,f_test_p_val,trend_test_p_val
ols,avg_def_dist,8,136778.5058942685,139468.89118666828,-68054.25294713426,,
ols,avg_def_dist,9,111497.95675965735,113853.29362092564,-55447.97837982867,,
ols,avg_def_dist,10,89392.9244796624,91470.30487733101,-44423.4622398312,,
gam_2_3,avg_def_dist,1,443891.1496350205,934530.8682537361,-221508.57481751026,,
gam_2_3,avg_def_dist,2,386403.7682781653,824613.3815337574,-192772.88413908266,,
gam_2_3,avg_def_dist,3,332614.9535700643,709661.4936262661,-165886.47678503214,,
gam_2_3,avg_def_dist,4,284354.51328058244,626412.1974962647,-141772.25664029122,,
gam_2_3,avg_def_dist,5,239925.64553427452,533849.7050873099,-119567.82276713726,,
gam_2_3,avg_def_dist,6,200388.55186990567,440219.6311325652,-99817.27593495284,,
gam_2_3,avg_def_dist,7,166645.72392987408,379408.0962282175,-82972.86196493704,,
gam_2_3,avg_def_dist,8,137084.82871659717,314624.6329346745,-68214.41435829859,,
gam_2_3,avg_def_dist,9,111760.14453547614,263358.3851534963,-55586.07226773807,,
gam_2_3,avg_def_dist,10,89602.20645705546,202996.76772468636,-44535.10322852773,,
gam_2_4,avg_def_dist,1,443774.72103674413,931723.8461775733,-221449.36051837206,,
gam_2_4,avg_def_dist,2,386403.7682781654,824613.3815337579,-192772.8841390827,,
gam_2_4,avg_def_dist,3,332614.79293143377,709621.2597084133,-165885.39646571688,,
gam_2_4,avg_def_dist,4,284356.0141833519,626411.0027356723,-141772.00709167594,,
gam_2_4,avg_def_dist,5,239927.58586251838,533858.8695200109,-119567.79293125919,,
gam_2_4,avg_def_dist,6,200386.87126578166,440143.4948731222,-99815.43563289083,,
gam_2_4,avg_def_dist,7,166579.26251008938,377788.5481680375,-82938.63125504469,,
gam_2_4,avg_def_dist,8,137022.72234824137,313115.3013422111,-68182.36117412068,,
gam_2_4,avg_def_dist,9,111670.33913124245,261178.46017314875,-55540.169565621225,,
gam_2_4,avg_def_dist,10,89522.80445987926,201134.58024809847,-44494.40222993963,,
gam_3_4,avg_def_dist,1,443891.1496350205,934530.8682537361,-221508.57481751026,,
gam_3_4,avg_def_dist,2,386403.7682781653,824613.3815337577,-192772.88413908266,,
gam_3_4,avg_def_dist,3,332614.79293143377,709621.2597084133,-165885.39646571688,,
gam_3_4,avg_def_dist,4,284356.0141833519,626411.0027356725,-141772.00709167594,,
gam_3_4,avg_def_dist,5,239927.48412499917,533856.4372628529,-119567.74206249959,,
gam_3_4,avg_def_dist,6,200387.90758401196,440167.86295009183,-99815.95379200598,,
gam_3_4,avg_def_dist,7,166574.5714151978,377677.02105972596,-82936.2857075989,,
gam_3_4,avg_def_dist,8,136994.89679680014,312457.15075151913,-68168.44839840007,,
gam_3_4,avg_def_dist,9,111656.76870781613,260855.69862975375,-55533.38435390806,,
gam_3_4,avg_def_dist,10,89494.0120422997,200474.95702838048,-44480.00602114985,,
gam_3_5,avg_def_dist,1,443774.72103674413,931723.8461775738,-221449.36051837206,,
gam_3_5,avg_def_dist,2,386403.7682781653,824613.3815337577,-192772.88413908266,,
gam_3_5,avg_def_dist,3,332614.7929314338,709621.2597084133,-165885.3964657169,,
gam_3_5,avg_def_dist,4,284357.8921850382,626418.8413324638,-141771.9460925191,,
gam_3_5,avg_def_dist,5,239926.05607670033,533785.0769513057,-119566.02803835017,,
gam_3_5,avg_def_dist,6,200389.88666355782,440177.7842397963,-99815.94333177891,,
gam_3_5,avg_def_dist,7,166542.21923238458,376871.128022467,-82919.10961619229,,
gam_3_5,avg_def_dist,8,136953.61582941673,311445.0688038814,-68146.80791470836,,
gam_3_5,avg_def_dist,9,111606.1505489917,259616.280768927,-55507.07527449585,,
gam_3_5,avg_def_dist,10,89474.04039748799,199982.06103164755,-44469.020198743994,,
gam_4_5,avg_def_dist,1,443891.1496350205,934530.8682537361,-221508.57481751026,,
gam_4_5,avg_def_dist,2,386403.7682781654,824613.3815337577,-192772.8841390827,,
gam_4_5,avg_def_dist,3,332614.7929314338,709621.2597084133,-165885.3964657169,,
gam_4_5,avg_def_dist,4,284357.8921850382,626418.8413324638,-141771.9460925191,,
gam_4_5,avg_def_dist,5,239927.2225725402,533812.9625468892,-119566.6112862701,,
gam_4_5,avg_def_dist,6,200389.9015073811,440178.1332840368,-99815.95075369054,,
gam_4_5,avg_def_dist,7,166538.5706377187,376784.50645508117,-82917.28531885934,,
gam_4_5,avg_def_dist,8,136941.64664248517,311162.7508715807,-68140.82332124258,,
gam_4_5,avg_def_dist,9,111604.01679076781,259565.69675011194,-55506.008395383906,,
gam_4_5,avg_def_dist,10,89466.28266351669,199804.8136069539,-44465.14133175834,,
gam_4_6,avg_def_dist,1,443774.72103674413,931723.8461775733,-221449.36051837206,,
gam_4_6,avg_def_dist,2,386403.7682781653,824613.3815337577,-192772.88413908266,,
gam_4_6,avg_def_dist,3,332614.7929314338,709621.2597084133,-165885.3964657169,,
gam_4_6,avg_def_dist,4,284357.89218503825,626418.8413324638,-141771.94609251912,,
gam_4_6,avg_def_dist,5,239926.73193044425,533764.0146632766,-119565.36596522212,,
gam_4_6,avg_def_dist,6,200388.82219482216,440116.1415178681,-99814.41109741108,,
gam_4_6,avg_def_dist,7,166525.1618190534,376429.0368512703,-82909.5809095267,,
gam_4_6,avg_def_dist,8,136924.70536081755,310726.31652482983,-68131.35268040877,,
gam_4_6,avg_def_dist,9,111581.4447039552,258993.42315889496,-55493.7223519776,,
gam_4_6,avg_def_dist,10,89455.87836868585,199531.20339483276,-44458.939184342926,,
